GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
0400000US29,29,Missouri,4666661,988,424605,3769,4242056,3846,2254174,1063,394334,3307,1859840,3333,689945,1020,27802,1085,662143,1420,757729,829,84879,1764,672850,1854,387215,515,76768,1732,310447,1689,254067,512,111634,1566,142433,1629,165218,346,93251,1243,71967,1266,2412487,972,30271,1315,2382216,1681,685952,885,5032,609,680920,1099,774380,898,12780,856,761600,1214,415408,549,7223,531,408185,736,290130,482,2612,272,287518,513,246617,439,2624,253,243993,511
0400000US30,30,Montana,800387,530,84878,1620,715509,1738,398651,517,77716,1566,320935,1701,116213,439,6167,528,110046,685,124039,429,15523,931,108516,1071,74466,288,14944,631,59522,660,52323,199,22737,610,29586,597,31610,177,18345,558,13265,545,401736,431,7162,567,394574,684,110415,412,1418,277,108997,457,122253,404,2848,335,119405,555,76863,268,1511,203,75352,357,51950,229,828,191,51122,314,40255,169,557,145,39698,204
0400000US31,31,Nebraska,1419194,617,122311,1470,1296883,1593,698449,626,112166,1342,586283,1436,224763,572,9115,509,215648,731,232748,463,25018,838,207730,975,117278,307,19100,715,98178,732,73073,264,30092,571,42981,582,50587,193,28841,539,21746,530,720745,493,10145,560,710600,785,216008,462,2157,280,213851,538,229219,424,4173,374,225046,523,120580,329,1948,232,118632,363,79653,282,1012,146,78641,312,75285,219,855,144,74430,255
0400000US32,32,Nevada,2210048,616,210461,2844,1999587,2911,1101312,574,191650,2612,909662,2598,336830,566,16915,1100,319915,1152,391931,463,43020,1384,348911,1463,173342,239,35805,1307,137537,1331,127483,222,55661,1152,71822,1148,71726,165,40249,726,31477,733,1108736,393,18811,951,1089925,1025,325874,382,3361,435,322513,545,381427,357,7391,630,374036,720,180314,230,4389,473,175925,545,135463,182,2208,262,133255,327,85658,183,1462,251,84196,284
0400000US33,33,New Hampshire,1066202,257,100474,1887,965728,1887,522638,393,93047,1668,429591,1624,144518,368,5158,527,139360,681,178984,301,20026,1063,158958,1012,99546,257,17780,848,81766,846,62697,226,26639,797,36058,832,36893,174,23444,713,13449,697,543564,290,7427,642,536137,679,139091,243,915,235,138176,329,182379,260,2953,349,179426,429,102391,270,1653,279,100738,377,67020,197,662,121,66358,223,52683,132,1244,242,51439,280
0400000US34,34,New Jersey,6952305,647,351542,3627,6600763,3774,3344428,575,330325,3375,3014103,3524,986935,604,16843,969,970092,1081,1215526,448,54238,1673,1161288,1682,564801,273,49790,1266,515011,1303,345642,243,98156,1511,247486,1531,231524,235,111298,1391,120226,1377,3607877,326,21217,996,3586660,999,955279,357,3668,467,951611,572,1265240,314,8080,642,1257160,659,610525,218,4228,455,606297,493,409834,254,2115,290,407719,379,366999,198,3126,334,363873,398
0400000US35,35,New Mexico,1577889,669,150650,2130,1427239,2211,770730,795,137219,1891,633511,2054,244134,759,10517,692,233617,956,247031,537,29423,990,217608,1027,129709,358,27207,1038,102502,1073,92164,273,38588,796,53576,787,57692,227,31484,735,26208,708,807159,483,13431,992,793728,1097,232625,571,2068,452,230557,645,253712,438,5120,573,248592,744,141996,241,3265,357,138731,438,102494,337,1749,241,100745,421,76332,217,1229,221,75103,304
0400000US36,36,New York,15571733,992,757900,5608,14813833,5774,7435221,1131,707865,5215,6727356,5318,2394788,1193,46169,1468,2348619,1766,2548580,999,130979,2585,2417601,2448,1212734,462,113855,1839,1098879,1872,763086,474,197372,2629,565714,2617,516033,367,219490,2222,296543,2138,8136512,629,50035,1733,8086477,1819,2404705,795,9028,660,2395677,993,2676672,616,19371,858,2657301,1016,1325903,476,10462,670,1315441,766,912428,483,4709,444,907719,636,816804,356,6465,549,810339,699
0400000US37,37,North Carolina,7666358,1765,670326,5005,6996032,5180,3639583,1962,604228,4484,3035355,4459,1087022,1928,50485,1917,1036537,2387,1292296,1248,147829,2469,1144467,2577,601353,620,116874,2092,484479,2048,418131,602,161962,1796,256169,1731,240781,502,127078,1570,113703,1509,4026775,1028,66098,1666,3960677,1841,1131680,1060,12432,901,1119248,1353,1368861,1062,30100,1147,1338761,1615,670209,669,14405,788,655804,980,486680,652,5369,463,481311,771,369345,570,3792,387,365553,652
0400000US38,38,North Dakota,568751,512,47228,1297,521523,1256,289424,694,43700,1249,245724,1362,104409,787,5260,530,99149,889,88925,510,9663,667,79262,867,47845,218,8200,503,39645,495,27945,126,10673,357,17272,363,20300,107,9904,362,10396,353,279327,495,3528,513,275799,670,91463,485,852,242,90611,541,82648,311,1671,351,80977,453,46265,277,629,150,45636,310,28445,174,155,55,28290,186,30506,113,221,80,30285,131
0400000US39,39,Ohio,8974264,732,752153,5487,8222111,5458,4334866,841,698882,5013,3635984,4986,1297060,1054,45660,1632,1251400,1810,1466209,909,154703,2670,1311506,2786,770072,603,131850,1835,638222,1870,486319,579,195270,1886,291049,1967,315206,419,171399,1790,143807,1663,4639398,788,53271,1644,4586127,1849,1275107,802,8367,781,1266740,1130,1501812,761,22458,1089,1479354,1345,819362,494,11402,644,807960,856,557840,486,5969,455,551871,658,485277,410,5075,456,480202,587
0400000US40,40,Oklahoma,2923008,781,276948,2717,2646060,2808,1426984,785,253188,2474,1173796,2586,462122,890,23000,845,439122,1005,477225,546,57928,1431,419297,1506,232506,442,47938,939,184568,1000,155427,307,69260,999,86167,980,99704,267,55062,842,44642,891,1496024,517,23760,902,1472264,1034,449514,540,4652,411,444862,652,479037,418,9923,602,469114,763,248274,330,4893,400,243381,493,176548,297,2469,265,174079,376,142651,315,1823,270,140828,439
